Valor Arriendo,Valor_Arriendo_SM,Area Construida,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
16236000,12.489230769230769,322.0,,4.693256226,-74.030206239,915.7092837766285,309.91193529953864,1.0,1.0,1.0,1.0,224.90321903594545,275.0356748921411,313.94053159427256,1.0
13159000,10.122307692307693,300.0,6.0,4.6666364669799805,-74.0487289428711,1295.4487505945842,265.3868560877372,1.0,1.0,1.0,1.0,324.00931181774433,135.39179533907824,259.3034026889108,1.0
7500000,5.769230769230769,208.0,6.0,4.712018966674805,-74.08267974853516,1150.0218829086643,85.36517946877132,1.0,1.0,1.0,2.0,902.6343305781924,989.730781776207,177.95792384695136,1.0
4700000,3.6153846153846154,144.8,4.0,4.7329884,-74.05815,955.0603114014909,141.64440859039462,1.0,1.0,1.0,1.0,247.55533504099003,316.05519951273965,1247.176222993344,1.0
1600000,1.2307692307692308,40.0,3.0,4.7363925,-74.024864,2573.808275916145,836.4305094808157,1.0,1.0,1.0,1.0,110.81464609961735,154.30561844716425,104.438002398146,1.0
1350000,1.0384615384615385,21.0,,4.60632,-74.069786,337.54944719325886,149.10583560605596,1.0,1.0,1.0,1.0,169.75779633683666,133.6224327694416,201.5864081544575,22.0
7000000,5.384615384615385,190.0,6.0,4.7256103,-74.077194,340.1443572976977,304.7786082068975,1.0,1.0,1.0,1.0,621.8924668441094,583.4031654317716,321.93239926277363,1.0
2000000,1.5384615384615385,42.0,,4.6788077,-74.053604,684.4233874102655,275.3069437115973,1.0,1.0,1.0,1.0,268.9293232826503,254.31888012624702,280.866821112319,1.0
2300000,1.7692307692307692,57.0,4.0,4.757859,-74.050514,613.2877537448884,504.2670768236904,1.0,1.0,1.0,1.0,35.41679450489394,26.746043523990295,512.7928325513593,1.0
2700000,2.076923076923077,47.0,,4.6453815,-74.05457,1183.1416198108088,121.0184171745322,1.0,1.0,1.0,1.0,338.75276013716416,479.9348602893095,232.9241845532772,1.0
4000000,3.076923076923077,85.0,4.0,4.645378,-74.05457,1183.2631138385148,121.39728026154069,1.0,1.0,1.0,1.0,339.02257830908576,480.0073610427357,232.91629584672697,1.0
